"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
482.737	"famous_faces_baseline"	1	"right"	0.993	2.507	"famous_faces_baseline"	485.228	483.73
486.381	"recently_learned_faces_correct_combination"	1	"left"	1.21	2.508	"recently_learned_faces"	488.867	487.591
489.925	"recently_learned_faces_baseline"	1	"left"	0.907	2.508	"recently_learned_faces_baseline"	492.405	490.832
493.252	"recently_learned_faces_correct_combination"	1	"left"	1.193	2.507	"recently_learned_faces"	495.742	494.445
496.796	"famous_faces_baseline"	1	"left"	1.091	2.507	"famous_faces_baseline"	499.281	497.887
500.39	"recently_learned_faces_false_combination"	1	"right"	1.024	2.507	"recently_learned_faces"	502.87	501.414
503.766	"famous_faces_false_combination"	1	"right"	0.959	2.508	"famous_faces"	506.258	504.725
507.16	"recently_learned_faces_baseline"	1	"left"	1.005	2.507	"recently_learned_faces_baseline"	509.646	508.165
510.704	"famous_faces_baseline"	1	"right"	0.767	2.507	"famous_faces_baseline"	513.184	511.471
514.281	"recently_learned_faces_false_combination"	1	"right"	1.328	2.508	"recently_learned_faces"	516.773	515.609
517.624	"famous_faces_baseline"	1	"left"	0.924	2.508	"famous_faces_baseline"	520.11	518.548
521.219	"famous_faces_false_combination"	1	"right"	1.021	2.507	"famous_faces"	523.699	522.24
524.645	"recently_learned_faces_false_combination"	1	"right"	1.276	2.508	"recently_learned_faces"	527.137	525.921
530.296	"famous_faces_correct_combination"	1	"left"	0.986	2.507	"famous_faces"	532.777	531.282
533.723	"recently_learned_faces_false_combination"	0	"left"	1.318	2.507	"recently_learned_faces"	536.215	535.041
537.367	"recently_learned_faces_baseline"	1	"right"	0.997	2.507	"recently_learned_faces_baseline"	539.854	538.364
540.81	"recently_learned_faces_correct_combination"	1	"left"	1.491	2.508	"recently_learned_faces"	543.292	542.301
544.388	"famous_faces_correct_combination"	1	"left"	1.189	2.507	"famous_faces"	546.881	545.577
547.781	"famous_faces_correct_combination"	1	"left"	0.843	2.508	"famous_faces"	550.269	548.624
551.225	"recently_learned_faces_false_combination"	1	"right"	1.327	2.507	"recently_learned_faces"	553.707	552.552
554.852	"famous_faces_baseline"	1	"left"	0.95	2.524	"famous_faces_baseline"	557.346	555.802
558.145	"famous_faces_false_combination"	1	"right"	0.932	2.508	"famous_faces"	560.633	559.077
561.79	"famous_faces_false_combination"	1	"right"	0.958	2.507	"famous_faces"	564.272	562.748
565.317	"famous_faces_false_combination"	1	"right"	1.185	2.524	"famous_faces"	567.81	566.502
568.71	"recently_learned_faces_false_combination"	1	"right"	1.098	2.508	"recently_learned_faces"	571.198	569.808
572.154	"recently_learned_faces_false_combination"	0	"left"	0.831	2.507	"recently_learned_faces"	574.636	572.985
577.888	"recently_learned_faces_baseline"	1	"left"	0.932	2.507	"recently_learned_faces_baseline"	580.377	578.82
581.331	"recently_learned_faces_baseline"	1	"right"	1.015	2.508	"recently_learned_faces_baseline"	583.815	582.346
584.775	"recently_learned_faces_false_combination"	1	"right"	1.218	2.507	"recently_learned_faces"	587.253	585.993
588.202	"famous_faces_correct_combination"	1	"left"	0.858	2.507	"famous_faces"	590.691	589.06
591.896	"recently_learned_faces_baseline"	1	"right"	0.85	2.508	"recently_learned_faces_baseline"	594.38	592.746
595.29	"famous_faces_correct_combination"	1	"left"	0.917	2.507	"famous_faces"	597.768	596.207
598.666	"famous_faces_baseline"	1	"left"	1.178	2.508	"famous_faces_baseline"	601.156	599.844
602.361	"recently_learned_faces_false_combination"	1	"right"	1.097	2.507	"recently_learned_faces"	604.845	603.458
605.804	"recently_learned_faces_false_combination"	1	"right"	1.061	2.508	"recently_learned_faces"	608.283	606.865
609.181	"famous_faces_baseline"	1	"right"	0.961	2.508	"famous_faces_baseline"	611.67	610.142
612.775	"famous_faces_baseline"	1	"right"	0.982	2.508	"famous_faces_baseline"	615.259	613.757
616.152	"recently_learned_faces_baseline"	1	"left"	0.848	2.524	"recently_learned_faces_baseline"	618.646	617
619.796	"famous_faces_correct_combination"	1	"left"	0.81	2.508	"famous_faces"	622.285	620.606
625.346	"famous_faces_correct_combination"	1	"left"	1.101	2.508	"famous_faces"	627.825	626.447
628.873	"famous_faces_false_combination"	1	"right"	0.876	2.508	"famous_faces"	631.364	629.749
632.267	"famous_faces_correct_combination"	1	"left"	0.681	2.507	"famous_faces"	634.751	632.948
635.71	"famous_faces_false_combination"	1	"right"	0.94	2.508	"famous_faces"	638.189	636.65
639.388	"recently_learned_faces_false_combination"	1	"right"	1.205	2.507	"recently_learned_faces"	641.878	640.593
