onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
368.262	2.508	famous_faces_false_combination	1	right	1.335	famous_faces	370.74	369.597
371.839	2.508	famous_faces_correct_combination	1	left	1.575	famous_faces	374.329	373.414
375.133	2.507	famous_faces_false_combination	1	right	1.374	famous_faces	377.616	376.507
378.777	2.507	recently_learned_faces_baseline	1	right	1.54	recently_learned_faces_baseline	381.255	380.317
382.304	2.508	recently_learned_faces_false_combination	1	right	1.948	recently_learned_faces	384.793	384.252
387.804	2.507	recently_learned_faces_baseline	1	left	1.219	recently_learned_faces_baseline	390.283	389.023
391.431	2.508	famous_faces_false_combination	1	right	1.181	famous_faces	393.922	392.612
394.825	2.507	famous_faces_correct_combination	1	left	1.314	famous_faces	397.31	396.139
398.369	2.507	recently_learned_faces_baseline	1	right	1.453	recently_learned_faces_baseline	400.849	399.822
401.695	2.508	recently_learned_faces_correct_combination	0	right	1.563	recently_learned_faces	404.186	403.258
405.34	2.507	famous_faces_correct_combination	1	left	1.586	famous_faces	407.825	406.926
408.683	2.507	recently_learned_faces_false_combination	1	right	2.053	recently_learned_faces	411.162	410.736
412.21	2.508	famous_faces_correct_combination	1	left	1.298	famous_faces	414.7	413.508
415.854	2.508	famous_faces_false_combination	1	right	2.02	famous_faces	418.339	417.874
419.248	2.507	famous_faces_baseline	1	right	1.692	famous_faces_baseline	421.727	420.94
422.825	2.508	famous_faces_correct_combination	1	left	1.057	famous_faces	425.316	423.882
426.219	2.507	famous_faces_baseline	1	right	0.944	famous_faces_baseline	428.704	427.163
429.763	2.507	famous_faces_baseline	1	left	1.667	famous_faces_baseline	432.243	431.43
435.446	2.508	recently_learned_faces_baseline	1	left	0.983	recently_learned_faces_baseline	437.933	436.429
438.84	2.507	recently_learned_faces_false_combination	1	right	2.27	recently_learned_faces	441.321	441.11
442.367	2.524	recently_learned_faces_correct_combination	1	left	1.325	recently_learned_faces	444.86	443.692
445.76	2.508	recently_learned_faces_baseline	1	left	1.064	recently_learned_faces_baseline	448.247	446.824
449.204	2.508	recently_learned_faces_false_combination	0	left	2.398	recently_learned_faces	451.685	451.602
452.832	2.507	recently_learned_faces_baseline	1	left	1.086	recently_learned_faces_baseline	455.324	453.918
456.175	2.507	recently_learned_faces_baseline	1	left	1.547	recently_learned_faces_baseline	458.661	457.722
459.719	2.507	famous_faces_baseline	1	left	0.94	famous_faces_baseline	462.199	460.659
463.346	2.508	famous_faces_correct_combination	1	left	1.246	famous_faces	465.838	464.592
466.74	2.507	famous_faces_baseline	1	right	0.945	famous_faces_baseline	469.226	467.685
470.183	2.508	famous_faces_false_combination	1	right	1.312	famous_faces	472.664	471.495
473.811	2.507	famous_faces_false_combination	1	right	1.222	famous_faces	476.303	475.033
477.104	2.508	recently_learned_faces_baseline	1	left	1.184	recently_learned_faces_baseline	479.59	478.288
482.938	2.524	famous_faces_baseline	1	right	1.331	famous_faces_baseline	485.432	484.269
486.282	2.507	recently_learned_faces_correct_combination	1	left	2.23	recently_learned_faces	488.769	488.512
489.876	2.507	recently_learned_faces_baseline	1	left	1.632	recently_learned_faces_baseline	492.358	491.508
493.303	2.524	recently_learned_faces_correct_combination	1	left	1.173	recently_learned_faces	495.796	494.476
496.696	2.508	famous_faces_baseline	1	left	0.915	famous_faces_baseline	499.184	497.611
500.34	2.508	recently_learned_faces_false_combination	1	right	1.183	recently_learned_faces	502.823	501.523
503.667	2.524	famous_faces_false_combination	1	right	1.409	famous_faces	506.16	505.076
507.361	2.508	recently_learned_faces_baseline	1	left	1.177	recently_learned_faces_baseline	509.849	508.538
510.755	2.507	famous_faces_baseline	1	right	1.012	famous_faces_baseline	513.237	511.767
514.182	2.524	recently_learned_faces_false_combination	1	right	1.798	recently_learned_faces	516.675	515.98
517.776	2.507	famous_faces_baseline	1	left	1.292	famous_faces_baseline	520.264	519.068
521.219	2.508	famous_faces_false_combination	1	right	1.39	famous_faces	523.702	522.609
524.797	2.524	recently_learned_faces_false_combination	1	right	1.653	recently_learned_faces	527.291	526.45
530.296	2.508	famous_faces_correct_combination	1	left	1.174	famous_faces	532.78	531.47
533.941	2.507	recently_learned_faces_false_combination	0	left	1.293	recently_learned_faces	536.419	535.234
537.217	2.508	recently_learned_faces_baseline	1	right	1.271	recently_learned_faces_baseline	539.706	538.488
540.811	2.508	recently_learned_faces_correct_combination	0	right	1.426	recently_learned_faces	543.295	542.237
544.355	2.508	famous_faces_correct_combination	1	left	1.046	famous_faces	546.834	545.401
547.682	2.524	famous_faces_correct_combination	1	left	1.019	famous_faces	550.171	548.701
551.376	2.508	recently_learned_faces_false_combination	1	right	1.728	recently_learned_faces	553.86	553.104
554.77	2.507	famous_faces_baseline	1	left	1.345	famous_faces_baseline	557.248	556.115
558.297	2.507	famous_faces_false_combination	1	right	1.304	famous_faces	560.787	559.601
561.69	2.508	famous_faces_false_combination	1	right	1.286	famous_faces	564.174	562.976
565.284	2.508	famous_faces_false_combination	1	right	1.969	famous_faces	567.763	567.253
