onset	duration	trial_type	accuracy	button	response_time	trial_type_less_granular	time_to_offset_alternative_onset	time_to_RT_alternative_onset_or_duration
704.337	2.507	recently_learned_faces_correct_combination	1	left	1.054	recently_learned_faces	706.816	705.391
707.613	2.507	recently_learned_faces_correct_combination	0	right	1.097	recently_learned_faces	710.103	708.71
711.157	2.507	famous_faces_baseline	1	left	0.857	famous_faces_baseline	713.641	712.014
714.751	2.507	recently_learned_faces_baseline	1	right	0.916	recently_learned_faces_baseline	717.23	715.667
720.384	2.508	famous_faces_false_combination	1	right	0.894	famous_faces	722.871	721.278
723.928	2.508	famous_faces_baseline	1	left	0.958	famous_faces_baseline	726.409	724.886
727.255	2.507	recently_learned_faces_false_combination	1	right	0.94	recently_learned_faces	729.746	728.195
730.698	2.508	famous_faces_correct_combination	1	left	0.936	famous_faces	733.184	731.634
734.292	2.508	recently_learned_faces_correct_combination	1	left	1.012	recently_learned_faces	736.773	735.304
737.87	2.507	recently_learned_faces_correct_combination	1	left	1.537	recently_learned_faces	740.362	739.407
741.313	2.508	famous_faces_correct_combination	1	left	0.718	famous_faces	743.8	742.031
744.757	2.508	recently_learned_faces_correct_combination	1	left	0.924	recently_learned_faces	747.238	745.681
748.134	2.507	recently_learned_faces_false_combination	1	right	0.89	recently_learned_faces	750.626	749.024
751.678	2.507	recently_learned_faces_baseline	1	right	0.872	recently_learned_faces_baseline	754.164	752.55
755.121	2.508	recently_learned_faces_correct_combination	1	left	0.967	recently_learned_faces	757.602	756.088
758.648	2.508	recently_learned_faces_false_combination	1	right	1.334	recently_learned_faces	761.14	759.982
762.293	2.507	recently_learned_faces_correct_combination	1	left	0.921	recently_learned_faces	764.779	763.214
767.876	2.524	recently_learned_faces_baseline	1	right	0.949	recently_learned_faces_baseline	770.37	768.825
771.42	2.507	famous_faces_false_combination	1	right	0.959	famous_faces	773.908	772.379
774.763	2.508	famous_faces_correct_combination	1	left	0.827	famous_faces	777.245	775.59
778.19	2.508	recently_learned_faces_false_combination	0	left	1.669	recently_learned_faces	780.683	779.859
781.784	2.508	famous_faces_baseline	1	left	1.054	famous_faces_baseline	784.272	782.838
785.378	2.508	famous_faces_correct_combination	1	left	0.759	famous_faces	787.861	786.137
788.705	2.507	famous_faces_correct_combination	1	left	1.422	famous_faces	791.198	790.127
792.148	2.508	famous_faces_correct_combination	1	left	0.863	famous_faces	794.636	793.011
