"onset"	"trial_type"	"accuracy"	"button"	"response_time"	"duration"	"trial_type_less_granular"	"time_to_offset_alternative_onset"	"time_to_RT_alternative_onset_or_duration"
445.8	"recently_learned_faces_baseline"	0	"right"	1.014	2.507	"recently_learned_faces_baseline"	448.291	446.814
449.344	"recently_learned_faces_false_combination"	0	"left"	1.363	2.507	"recently_learned_faces"	451.83	450.707
452.687	"recently_learned_faces_baseline"	1	"left"	0.983	2.508	"recently_learned_faces_baseline"	455.167	453.67
456.214	"recently_learned_faces_baseline"	1	"left"	1.534	2.508	"recently_learned_faces_baseline"	458.705	457.748
459.758	"famous_faces_baseline"	1	"left"	1.282	2.508	"famous_faces_baseline"	462.244	461.04
463.352	"famous_faces_correct_combination"	1	"left"	1.515	2.508	"famous_faces"	465.833	464.867
466.779	"famous_faces_baseline"	1	"right"	1.156	2.508	"famous_faces_baseline"	469.271	467.935
470.173	"famous_faces_false_combination"	1	"right"	1.232	2.507	"famous_faces"	472.658	471.405
473.616	"famous_faces_false_combination"	1	"right"	1.048	2.508	"famous_faces"	476.096	474.664
477.194	"recently_learned_faces_baseline"	0	"right"	0.839	2.507	"recently_learned_faces_baseline"	479.685	478.033
482.793	"famous_faces_baseline"	0	"left"	1.65	2.508	"famous_faces_baseline"	485.275	484.443
486.22	"recently_learned_faces_correct_combination"	0	"right"	1.647	2.508	"recently_learned_faces"	488.713	487.867
489.915	"recently_learned_faces_baseline"	1	"left"	1.687	2.507	"recently_learned_faces_baseline"	492.402	491.602
493.358	"recently_learned_faces_correct_combination"	0	"right"	2.224	2.508	"recently_learned_faces"	495.84	495.582
496.785	"famous_faces_baseline"	1	"left"	1.238	2.508	"famous_faces_baseline"	499.278	498.023
500.229	"recently_learned_faces_false_combination"	1	"right"	2.001	2.507	"recently_learned_faces"	502.716	502.23
503.773	"famous_faces_false_combination"	1	"right"	1.299	2.507	"famous_faces"	506.255	505.072
507.35	"recently_learned_faces_baseline"	0	NA	NA	2.507	"recently_learned_faces_baseline"	509.844	NA
510.643	"famous_faces_baseline"	1	"right"	1.248	2.508	"famous_faces_baseline"	513.131	511.891
514.287	"recently_learned_faces_false_combination"	1	"right"	1.686	2.508	"recently_learned_faces"	516.77	515.973
517.714	"famous_faces_baseline"	1	"left"	1.59	2.508	"famous_faces_baseline"	520.208	519.304
521.108	"famous_faces_false_combination"	1	"right"	1.309	2.507	"famous_faces"	523.596	522.417
524.752	"recently_learned_faces_false_combination"	1	"right"	1.801	2.507	"recently_learned_faces"	527.235	526.553
530.285	"famous_faces_correct_combination"	0	"right"	1.549	2.507	"famous_faces"	532.774	531.834
533.929	"recently_learned_faces_false_combination"	1	"right"	1.849	2.508	"recently_learned_faces"	536.413	535.778
537.206	"recently_learned_faces_baseline"	1	"right"	1.128	2.507	"recently_learned_faces_baseline"	539.7	538.334
540.8	"recently_learned_faces_correct_combination"	0	"right"	1.389	2.507	"recently_learned_faces"	543.289	542.189
544.343	"famous_faces_correct_combination"	0	"right"	1.435	2.508	"famous_faces"	546.828	545.778
547.887	"famous_faces_correct_combination"	1	"left"	1.765	2.508	"famous_faces"	550.366	549.652
551.214	"recently_learned_faces_false_combination"	1	"right"	1.746	2.507	"recently_learned_faces"	553.703	552.96
554.808	"famous_faces_baseline"	1	"left"	1.537	2.507	"famous_faces_baseline"	557.292	556.345
558.135	"famous_faces_false_combination"	1	"right"	2.459	2.524	"famous_faces"	560.629	560.594
561.729	"famous_faces_false_combination"	1	"right"	1.407	2.507	"famous_faces"	564.218	563.136
565.323	"famous_faces_false_combination"	1	"right"	2.069	2.507	"famous_faces"	567.807	567.392
568.666	"recently_learned_faces_false_combination"	1	"right"	2.033	2.507	"recently_learned_faces"	571.144	570.699
572.093	"recently_learned_faces_false_combination"	1	"right"	1.295	2.507	"recently_learned_faces"	574.582	573.388
577.793	"recently_learned_faces_baseline"	1	"left"	1.169	2.508	"recently_learned_faces_baseline"	580.272	578.962
581.22	"recently_learned_faces_baseline"	1	"right"	1.253	2.507	"recently_learned_faces_baseline"	583.71	582.473
584.914	"recently_learned_faces_false_combination"	0	"left"	2.351	2.508	"recently_learned_faces"	587.399	587.265
588.358	"famous_faces_correct_combination"	0	"right"	1.228	2.507	"famous_faces"	590.837	589.586
591.785	"recently_learned_faces_baseline"	1	"right"	1.109	2.507	"recently_learned_faces_baseline"	594.275	592.894
595.329	"famous_faces_correct_combination"	1	"left"	1.28	2.507	"famous_faces"	597.814	596.609
598.872	"famous_faces_baseline"	1	"left"	1.281	2.508	"famous_faces_baseline"	601.352	600.153
602.149	"recently_learned_faces_false_combination"	0	"left"	1.51	2.507	"recently_learned_faces"	604.639	603.659
605.743	"recently_learned_faces_false_combination"	1	"right"	1.473	2.507	"recently_learned_faces"	608.228	607.216
609.187	"famous_faces_baseline"	1	"right"	1.713	2.507	"famous_faces_baseline"	611.666	610.9
612.714	"famous_faces_baseline"	1	"right"	1.269	2.507	"famous_faces_baseline"	615.205	613.983
616.308	"recently_learned_faces_baseline"	0	"right"	0.538	2.507	"recently_learned_faces_baseline"	618.794	616.846
619.751	"famous_faces_correct_combination"	0	"right"	1.311	2.508	"famous_faces"	622.232	621.062
625.284	"famous_faces_correct_combination"	0	"right"	1.938	2.508	"famous_faces"	627.771	627.222
628.828	"famous_faces_false_combination"	1	"right"	1.254	2.508	"famous_faces"	631.31	630.082
632.205	"famous_faces_correct_combination"	1	"left"	1.325	2.508	"famous_faces"	634.698	633.53
635.849	"famous_faces_false_combination"	1	"right"	1.902	2.508	"famous_faces"	638.337	637.751
639.393	"recently_learned_faces_false_combination"	1	"right"	1.232	2.508	"recently_learned_faces"	641.875	640.625
642.72	"famous_faces_false_combination"	1	"right"	1.417	2.507	"famous_faces"	645.212	644.137
646.264	"famous_faces_false_combination"	1	"right"	1.169	2.507	"famous_faces"	648.751	647.433
649.807	"recently_learned_faces_correct_combination"	0	"right"	1.398	2.508	"recently_learned_faces"	652.29	651.205
653.134	"famous_faces_baseline"	1	"left"	0.993	2.508	"famous_faces_baseline"	655.627	654.127
656.828	"recently_learned_faces_correct_combination"	0	"right"	1.045	2.508	"recently_learned_faces"	659.316	657.873
660.122	"recently_learned_faces_false_combination"	1	"right"	1.271	2.507	"recently_learned_faces"	662.603	661.393
663.699	"famous_faces_baseline"	1	"right"	1.468	2.507	"famous_faces_baseline"	666.192	665.167
667.293	"famous_faces_false_combination"	1	"right"	1.303	2.507	"famous_faces"	669.781	668.596
672.926	"recently_learned_faces_correct_combination"	0	"right"	1.345	2.508	"recently_learned_faces"	675.42	674.271
676.27	"recently_learned_faces_baseline"	1	"left"	1.147	2.507	"recently_learned_faces_baseline"	678.757	677.417
679.864	"recently_learned_faces_correct_combination"	1	"left"	1.277	2.507	"recently_learned_faces"	682.346	681.141
683.291	"famous_faces_false_combination"	1	"right"	1.409	2.507	"famous_faces"	685.784	684.7
686.684	"recently_learned_faces_correct_combination"	0	"right"	1.422	2.507	"recently_learned_faces"	689.172	688.106
690.228	"famous_faces_baseline"	1	"left"	1.098	2.507	"famous_faces_baseline"	692.71	691.326
693.805	"famous_faces_baseline"	1	"left"	0.935	2.524	"famous_faces_baseline"	696.299	694.74
697.249	"famous_faces_correct_combination"	1	"left"	1.856	2.507	"famous_faces"	699.737	699.105
700.843	"recently_learned_faces_false_combination"	1	"right"	1.143	2.507	"recently_learned_faces"	703.326	701.986
704.119	"recently_learned_faces_correct_combination"	0	"right"	1.188	2.508	"recently_learned_faces"	706.613	705.307
707.763	"recently_learned_faces_correct_combination"	0	"right"	1.318	2.508	"recently_learned_faces"	710.252	709.081
711.207	"famous_faces_baseline"	1	"left"	1.132	2.507	"famous_faces_baseline"	713.69	712.339
714.801	"recently_learned_faces_baseline"	1	"right"	1.097	2.507	"recently_learned_faces_baseline"	717.279	715.898
720.384	"famous_faces_false_combination"	1	"right"	1.847	2.508	"famous_faces"	722.869	722.231
723.728	"famous_faces_baseline"	1	"left"	1.014	2.507	"famous_faces_baseline"	726.206	724.742
727.405	"recently_learned_faces_false_combination"	0	"left"	2.233	2.508	"recently_learned_faces"	729.895	729.638
730.749	"famous_faces_correct_combination"	0	"right"	1.437	2.507	"famous_faces"	733.232	732.186
734.292	"recently_learned_faces_correct_combination"	0	"right"	1.266	2.508	"recently_learned_faces"	736.771	735.558
737.82	"recently_learned_faces_correct_combination"	0	"right"	0.886	2.507	"recently_learned_faces"	740.31	738.706
741.213	"famous_faces_correct_combination"	0	"right"	1.039	2.507	"famous_faces"	743.697	742.252
